tag_id,tag_text,first_seen_date
0,spbpu,9 / 20 / 2012
1,dreams,3 / 9 / 1989
2,dws,5 / 4 / 1994
3,##?,6 / 8 / 2022
4,#?,3 / 27 / 2021
5,?,4 / 3 / 2016
6,f,6 / 22 / 2015
7,wolframalpha,2 / 16 / 2003
8,search,8 / 6 / 1986
9,semantic-we,9 / 27 / 1987
10,Virgin,7 / 8 / 1984
11,liquor,11 / 6 / 2015
12,Easter.,6 / 20 / 2007
13,WCH,4 / 12 / 1988
14,tire,7 / 16 / 2020
15,barcodes.,1 / 15 / 1991
16,nickdarcy,11 / 25 / 1999
17,IgniteCardiff,9 / 2 / 1994
18,untwitter,8 / 5 / 2025
19,hous,8 / 16 / 2015
20,qt4,1 / 6 / 2010
21,iPhone,1 / 11 / 1991
22,Chow,7 / 27 / 2013
23,Mesh09,10 / 8 / 2018
24,Hous,10 / 7 / 1987
25,spbpuk,11 / 10 / 2001
26,1,3 / 1 / 2008
27,ottawa,10 / 11 / 2021
28,Smeep,11 / 5 / 1985
29,il05,4 / 11 / 2001
30,&amp;ing,8 / 21 / 2024
31,walthamstowEMD,9 / 18 / 2000
32,pawpawty.,2 / 11 / 2015
33,smc_mcr,2 / 7 / 2014
34,phpnw,9 / 9 / 2015
35,IVAA09,5 / 23 / 2017
36,Gmail,6 / 27 / 2000
37,txdla0,10 / 2 / 1995
38,f1,11 / 13 / 2018
39,wowroo,6 / 22 / 2016
40,Lahore,8 / 1 / 2008
41,photo,4 / 14 / 2014
42,5,8 / 18 / 2008
43,8,5 / 14 / 2008
44,btv.,7 / 17 / 1993
45,weshareDI,5 / 18 / 1992
46,bluepete,2 / 21 / 2002
47,iTunes,8 / 22 / 2008
48,new,5 / 3 / 2017
49,standard,7 / 14 / 2025
50,"high-quality,",7 / 19 / 2014
51,over-priced,9 / 24 / 2004
52,digital,10 / 2 / 1990
53,downloads.,5 / 2 / 2015
54,"Sad,",10 / 23 / 2002
55,WiiFit,10 / 20 / 1991
56,cricket,6 / 26 / 2021
57,",",2 / 13 / 1991
58,failwhale,5 / 24 / 1986
59,cloudforce,10 / 2 / 1984
60,visualforce,4 / 24 / 2025
61,Spartans,2 / 17 / 2020
62,ms,5 / 12 / 2005
63,Heroes,8 / 12 / 2007
64,2,9 / 17 / 2017
65,lol,5 / 2 / 2012
66,ichc,10 / 14 / 2005
67,cat,6 / 21 / 2023
68,frinightfeve,3 / 27 / 2010
69,Angel,11 / 14 / 1998
70,ASOT40,5 / 21 / 2013
71,asot40,2 / 10 / 1999
72,Tron,4 / 14 / 2014
73,dubstep,1 / 11 / 1989
74,howlin,10 / 22 / 2014
75,ASOT400,6 / 8 / 2002
76,gamearena,8 / 11 / 2008
77,lost,8 / 16 / 1997
78,theoffice.,11 / 12 / 2022
79,Dollhouse,8 / 4 / 2007
80,randomfacts!,5 / 6 / 2022
81,socks,11 / 4 / 1996
82,wasted,5 / 1 / 1996
83,drunk,7 / 26 / 1988
84,plowe,3 / 16 / 2020
85,hillhous,8 / 7 / 2022
86,randomfact,2 / 22 / 1997
87,wow,5 / 27 / 1987
88,sll,11 / 22 / 1997
89,susanboyle.,10 / 9 / 2005
90,twunes,11 / 25 / 1997
91,uf,1 / 25 / 2021
92,ip,6 / 27 / 1998
93,squirrel,10 / 24 / 2004
94,Joomla,10 / 27 / 1989
95,painbuddie,5 / 13 / 2013
96,macbook,2 / 12 / 1984
97,bremen,1 / 6 / 2011
98,idiotictwitterapps,11 / 1 / 1995
99,readatho,11 / 25 / 1995
100,followfriday!,1 / 7 / 2015
101,PRSAN,1 / 18 / 2000
102,IPL,4 / 2 / 1993
103,tltsym0,2 / 19 / 1995
104,IP,2 / 1 / 2014
105,6.,8 / 10 / 2004
106,maximopar,4 / 14 / 1994
107,blockparty,6 / 15 / 1997
108,notacon,7 / 27 / 1984
109,Phish,10 / 21 / 2019
110,satcha,5 / 9 / 2023
111,SXSEMIA,4 / 24 / 2004
112,F1,8 / 6 / 2018
113,phillycodecam,11 / 16 / 1985
114,tco,4 / 26 / 1988
115,campcourag,3 / 11 / 2007
116,,7 / 3 / 2012
